Odczuwam smutek w obliczu strat, jakie niesie ze sobą zmiana klimatu.	I feel saddened by the losses that climate change brings.	SOR1
Świadomość zmiany klimatu napełnia mnie smutkiem.	Knowing that the climate is changing fills me with sadness.	SOR2
Wypełnia mnie gorycz na myśl o tym, jak wiele bezpowrotnie tracimy w wyniku zmiany klimatu.	I’m bitter over how much we are irretrievably losing as a result of climate change.	SOR3
Jest mi przykro, gdy myślę o możliwościach, które nieodwracalnie tracimy wraz z postępującą zmianą klimatu.	I feel sorry about the possibilities we are irreversibly losing as a result of climate change.	SOR4
Wypełnia mnie żal, kiedy myślę o świecie, który tracimy na zawsze w wyniku zmiany klimatu.	I’m filled with sorrow for the world that we are losing forever as a result of climate change.	SOR5
Smutno mi z powodu świata, który odchodzi bezpowrotnie w wyniku zmiany klimatu.	I feel saddened by the world that is irretrievably vanishing as a result of climate change.	SOR6
Przykro mi, gdy widzę, jak środowisko zmienia się na naszych oczach za sprawą zmiany klimatu.	I am sorry to see the environment changing right before our eyes as a result of climate change.	SOR7
Czuję smutek, kiedy obserwuję postępującą pod wpływem zmiany klimatu degradację przyrody.	I feel saddened by the progressive degradation of nature as a result of climate change.	SOR8
Czuję żal, gdy myślę o miejscach, które znikają przez zmianę klimatu.	I feel sorry for all the places that are disappearing as a result of climate change.	SOR9
Robi mi się smutno, kiedy pomyślę o tym, że przez zmianę klimatu przyszłe pokolenia nie zobaczą już lodowców, ani raf koralowych.	I feel sad when I think about the future generations who, because of climate change, will not have the chance to see glaciers or coral reefs.	SOR10
Odczuwam smutek, że z powodu zmiany klimatu przyszłe pokolenia nie będą miały szansy doświadczyć świata takim, jakim my go znamy.	I feel saddened by the fact that, because of climate change, future generations will not have the chance to experience the world as we know it.	SOR11
Wymieranie gatunków w następstwie zmiany klimatu wywołuje we mnie smutek.	I am saddened by the extinction of species as a result of climate change.	SOR12
Czuję żal, gdy myślę o znikających bezpowrotnie gatunkach zwierząt i roślin w następstwie zmiany klimatu.	I’m filled with sorrow for all the disappearing plant and animal species, resulting from climate change.	SOR13
Smuci mnie, że przez zmianę klimatu cierpi tyle stworzeń.	I’m sad that so many species are suffering because of climate change.	SOR14
Złości mnie, że rządy zrobiły tak mało, by ograniczyć zmianę klimatu.	I am angry that governments have done so little to deal with climate change.	ANG1
Jestem wzburzony/a opieszałością polityków w kwestii przeciwdziałania zmianie klimatu.	I am outraged by the negligence of politicians towards dealing with climate change.	ANG2
Czuję gniew na myśl o politykach, którzy odwlekają przeciwdziałanie zmianie klimatu.	I feel anger at the thought of politicians putting off the fight against climate change.	ANG3
Jestem sfrustrowana/y tym, jak powoli podejmowane są działania na rzecz powstrzymania zmiany klimatu.	I’m frustrated by how slowly actions are being taken in fighting climate change.	ANG4
Złości mnie, że nasi przywódcy nie traktują zmiany klimatu poważnie.	I am angry about our leaders not taking climate change seriously.	ANG5
Jestem zły/a na liderów politycznych, którzy ignorują wiedzę naukową dotyczącą zmiany klimatu.	I am angry at political leaders who ignore scientific knowledge on climate change.	ANG6
Czuję złość na myśl o ludziach u władzy, którzy za mało robią, by przeciwdziałać zmianie klimatu.	I feel anger at the thought of people in power who don’t do enough to resist climate change.	ANG7
Denerwuje mnie, jak w obliczu zmiany klimatu ludzie u władzy przedkładają pieniądze nad dobro społeczeństwa i środowiska.	It bothers me how, in the face of climate change, people in power place money over the benefit of society and the environment.	ANG8
Czuję złość na firmy, które celowo ukrywały prawdę o postępującej zmianie klimatu.	I feel anger towards companies that deliberately hide the truth about the climate changing.	ANG9
Czuję wściekłość na korporacje szkodzące klimatowi.	I am outraged by corporations that harm the climate.	ANG10
Czuję wściekłość na zarządy korporacji, których chciwość doprowadziła do zmiany klimatu.	I am outraged by corporate managements whose greed led to climate change.	ANG11
Czuję złość w stosunku do ludzi u władzy, którzy mają moc zmienienia wielu rzeczy, ale nadal działają na szkodę klimatu.	I feel anger towards people in power, who have the agency to create change, but continue taking action that harms the climate.	ANG12
Jestem wściekła/y, że politycy pozwolili zmianie klimatu zajść tak daleko.	I am outraged that politicians allowed for climate change to come this far.	ANG13
Czuję złość na to, że system polityczno-gospodarczy, w którym żyjemy, jest szkodliwy dla klimatu.	I feel angry that the political and economic system that we live in is harmful towards the climate.	ANG14
Czuję złość, gdy widzę, że inni ludzie nie przejmują się zmianą klimatu.	I feel anger when I see other people who do not care about climate change.	IRR1
Złości mnie to, kiedy ludzie w moim otoczeniu zachowują się tak, jakby nie obchodziła ich zmiana klimatu.	It makes me angry when the people around me act like they don’t care about climate change.	IRR2
Ręce mi opadają na myśl o ludziach, których nie obchodzi zmiana klimatu.	I feel hopeless when I think of people who don’t care about climate change.	IRR3
Irytuje mnie to, że ludzie dookoła mnie nie uważają zmiany klimatu za poważny i pilny problem.	I’m annoyed with the fact that people around me don’t see the seriousness and urgency of climate change.	IRR4
Czuję się zirytowana/y, ponieważ ludzie w moim otoczeniu nie rozumieją powagi zmiany klimatu.	I feel annoyed because many people around me don’t understand the seriousness of climate change.	IRR5
Drażni mnie, gdy ludzie nie dostrzegają, jak pilna jest potrzeba działania na rzecz klimatu.	I get irritated when people don’t understand the urgency of fighting climate change.	IRR6
Drażnią mnie ludzie w moim otoczeniu, którzy nie wykazują zaangażowania w sprawę zmiany klimatu.	I’m irritated by the people around me who are not committed to fighting climate change.	IRR7
Irytuje mnie brak zaangażowania społeczeństwa w walkę ze zmianą klimatu.	I’m annoyed by the public lack of involvement in fighting climate change.	IRR8
Denerwuję się, gdy widzę jak ludzie bezrefleksyjnie zachowują się w sposób szkodzący klimatowi.	I get angry when I see people thoughtlessly acting in a way that is harmful to the climate.	IRR9
Irytują mnie ludzie, którzy żyją, jakby nie było zmiany klimatu.	I’m annoyed by people who live like there is no climate change.	IRR10
Nie mogę znieść tego, że wielu ludzi żyje, jakby zmiana klimatu nie stanowiła problemu.	I cannot stand the fact that many people live as if climate change was not a problem.	IRR11
Drażni mnie, gdy ludzie w moim otoczeniu zachowują się w sposób szkodliwy dla klimatu.	I feel annoyed when the people around me act in a way that is harmful to the climate.	IRR12
Ludzie sami sobie zasłużyli na katastrofę klimatyczną.	People got what they deserve by the climate changing.	IRR13
Złoszczą mnie ludzie, którzy ignorują zmianę klimatu.	I am mad at people who ignore climate change.	IRR14
Wizja przyszłości w dobie zmiany klimatu wywołuje we mnie lęk.	I am full of fear when I think of the future in times of climate change.	APP1
Z niepokojem myślę o skutkach zmiany klimatu.	I am concerned about the effects of climate change.	APP2
Obawiam się tego, co nastąpi w wyniku zmiany klimatu.	I fear what will happen due to climate change.	APP3
Niepokoją mnie skutki zmiany klimatu, które już obserwujemy.	I am concerned about the climate change consequences that we are already witnessing.	APP4
Zdarza mi się czuć niepokój na myśl o tym, co dzieje się w wyniku zmiany klimatu.	I sometimes feel anxious when thinking about all that is happening as a result of climate change.	APP5
Czuję niepokój, gdy myślę o zmianie klimatu.	I feel anxious when I think of climate change.	APP6
Myśli o zmianie klimatu sprawiają, że boję się o przyszłość naszych dzieci.	I fear the future of our children when I think of climate change.	APP7
Odczuwam niepokój, że ze względu na zmianę klimatu życie przyszłych pokoleń będzie trudniejsze.	I feel anxious because, due to climate change, the lives of future generations will be more difficult.	APP8
Boję się życia w świecie dotkniętym zmianą klimatu.	I am scared of life in a world affected by climate change.	APP9
Czuję obawę, gdy myślę o tym, jak zmiana klimatu wpłynie na życie ludzi.	I fear how climate change will affect the lives of people.	APP10
Niepokoi mnie, w jaki sposób dotknie mnie zmiana klimatu.	I am concerned with how climate change will affect me.	APP11
Czuję niepokój na myśl o tym, jaki wpływ na nasze życie będzie miała zmiana klimatu.	I feel anxious about how climate change will affect our lives.	APP12
Czasami jestem niespokojny/a myśląc o tym, co niesie ze sobą zmiana klimatu.	Sometimes I get anxious thinking about what climate change will bring.	APP13
Boję się, jak zmiana klimatu dotknie mnie i moich bliskich.	I fear how climate change will affect me and my close ones.	APP14
Czuję bezradność wobec tego, jak skomplikowanym problemem jest zmiana klimatu.	I feel powerless towards the complexity of the climate change problem.	POWL1
Czuję się bezradna/y wobec faktu, że jako jednostka mam bardzo niewielki wpływ na to, co się dzieje z klimatem.	I feel powerless towards the fact that as an individual, I have little agency over what happens to the climate.	POWL2
Czuję bezsilność, kiedy uświadamiam sobie, że moje działania na rzecz klimatu to tylko kropla w morzu potrzeb.	I feel helpless when I realize that my climate actions are just a drop in an ocean of needs.	POWL3
Mam poczucie, że niewiele mogę zrobić, by ograniczyć zmianę klimatu.	I feel that I cannot do much to limit climate change.	POWL4
Kiedy myślę, co ja sam/a mogę zrobić na rzecz klimatu, czuję się bardzo malutka/malutki.	When I think about what I can do for the climate, I feel very small.	POWL5
Czuję bezsilność na myśl, że jednostka ma niewiele wpływu na ograniczenie zmiany klimatu.	I feel helpless at the thought of the little impact that an individual has on climate change.	POWL6
Przytłacza mnie to, jak wiele aspektów życia należałoby zmienić, by ograniczyć zmianę klimatu.	I am overwhelmed by how many changes need to be made to reduce climate change.	POWL7
Mam poczucie bezsilności w obliczu tego, jak skomplikowanym problemem jest zmiana klimatu.	I feel powerless towards how complicated climate change is.	POWL8
Dopada mnie niemoc na myśl o tym, jak trudne jest ograniczenie zmiany klimatu.	I feel powerless at the thought of how difficult it is to mitigate climate change.	POWL9
Czuję bezsilność z powodu tego, że jestem częścią systemu, który ma negatywny wpływ na klimat.	I feel helpless because I am part of a system that has a negative impact on the climate.	POWL10
Czuję dezorientację, jeśli chodzi o to, co mogę tak naprawdę zrobić, by ograniczyć zmianę klimatu.	I feel disoriented over what I can do to reduce climate change.	POWL11
Trudno mi zrozumieć, jak właściwie mam postępować, by pomóc skutecznie przeciwdziałać zmianie klimatu.	It’s difficult for me to understand what I can do to help fight climate change effectively.	POWL12
Czuję bezsilność, kiedy myślę o tym, jak trudno jest żyć w sposób przyjazny dla klimatu.	I feel helpless when I think of how difficult it is to live in a climate friendly way.	POWL13
Przytłacza mnie złożoność problemu zmiany klimatu.	I’m overwhelmed by the complexity of the climate change problem.	POWL14
Wiele wyborów dnia codziennego wywołuje u mnie poczucie winy ze względu na ich negatywny wpływ na klimat.	Many of my everyday choices cause me to feel guilty because of the negative impact they have on the climate.	GUI1
Kiedy robię coś, co przyczynia się do zmiany klimatu, nachodzą mnie wyrzuty sumienia.	I feel remorse whenever I do something that contributes to climate change.	GUI2
Czuję się winna/y, gdy robię coś szkodliwego dla klimatu, na przykład gdy korzystam z samochodu lub samolotu.	I feel guilty whenever I do something that harms the climate, such as using a car or airplane.	GUI3
Mam poczucie winy, gdy robię coś, co przyczynia się do zmiany klimatu.	I feel guilty for doing things that contribute towards climate change.	GUI4
Odczuwam dyskomfort, kiedy mam zrobić coś, co wiąże się ze szkodą dla klimatu.	I feel discomfort around doing something that’s associated with climate harm.	GUI5
Denerwuję się, że mój negatywny wpływ na klimat jest zbyt duży.	It upsets me that my negative impact on climate change is so big.	GUI6
Czuję dyskomfort, kiedy myślę o moim negatywnym wpływie na klimat.	I feel uncomfortable when I think about my negative impact on the climate.	GUI7
Mam poczucie winy, że sposób, w jaki żyję, przyczynia się do zmiany klimatu	I feel guilty that my lifestyle contributes to climate change.	GUI8
Mam wyrzuty sumienia, że robię zbyt mało, by ograniczyć zmianę klimatu.	I feel remorse for not doing enough to mitigate climate change.	GUI9
Czuję napięcie, gdy myślę, że moje działania na rzecz ograniczenia zmiany klimatu są niewystarczające.	I feel tense when I think about my climate change reducing actions not being enough.	GUI10
Mam wyrzuty sumienia, że nie robię wystarczająco dużo, żeby przeciwdziałać zmianie klimatu.	I have guilt around not doing enough to fight climate change.	GUI11
Jestem zła/y na siebie, że nie robię wystarczająco dużo, by ograniczyć mój wpływ na klimat.	I am mad at myself for not doing enough to restrain my impact on the climate.	GUI12
Stresuję się, że powinnam/powinienem robić więcej, by przeciwdziałać zmianie klimatu.	I am stressed that I should do more to fight climate change.	GUI13
Mam do siebie pretensje, że nie robię więcej, by pomóc w walce ze zmianą klimatu.	I shame myself for not doing more to help with the fight against climate change.	GUI14
Świadomość zmiany klimatu odbiera mi radość życia.	Being aware of climate change limits the joy in my life.	HOPL1
Kiedy patrzę w przyszłość, ze względu na zmianę klimatu trudno mi dostrzec tam miejsce na radość.	It is difficult for me to find joy in the future, as a result of climate change.	HOPL2
Czuję rozpacz na myśl o skutkach zmiany klimatu.	I feel despair when I think about the effects of climate change.	HOPL3
Przytłacza mnie to, co czuję odnośnie zmiany klimatu.	I am overwhelmed by my feelings towards climate change.	HOPL4
Przytłacza mnie świadomość nadchodzącej katastrofy klimatycznej.	I am overwhelmed by the awareness of the upcoming climate disaster.	HOPL5
Czuję, że nasza sytuacja jeśli chodzi o zmianę klimatu jest beznadziejna.	I feel that our climate situation is hopeless.	HOPL6
Zmiana klimatu sprawia, że czuję się jakbym żył/a z diagnozą śmiertelnej choroby.	Climate change makes me feel like I am living with a diagnosis for a terminal illness.	HOPL7
Jestem pozbawiony/a nadziei na przyszłość w obliczu tego, co dzieje się z klimatem.	I have no hope for the future in face of what is happening with the climate.	HOPL8
Czuję, że nie ma przyszłości w świecie dotkniętym skutkami zmiany klimatu.	I feel that I have no future in a world that is facing the effects of climate change.	HOPL9
W obliczu zmiany klimatu trudno jest mi robić plany na przyszłość.	It is difficult for me to plan for the future in the face of climate change.	HOPL10
Ze względu na zmianę klimatu wszystko wydaje się niepewne.	Everything seems uncertain because of climate change.	HOPL11
Kiedy myślę o zmianie klimatu, to czuję się jakbym balansował/a na skraju przepaści.	When I think of climate change, I feel like I’m balancing on the edge of the abyss.	HOPL12
Ze względu na zmianę klimatu przyszłość rysuje się w ciemnych barwach.	The future looks very dim due to climate change	HOPL13
Boję się, że moja przyszłość w dobie zmiany klimatu wypełniona będzie cierpieniem.	I am afraid that my future in the face of climate change will be full of suffering.	HOPL14
Czuję się wyobcowana/y w moich odczuciach wobec zmiany klimatu.	I feel left out in my feelings regarding climate change.	ISO1
Czuję się osamotniona/y w mojej trosce o zmianę klimatu.	I feel lonely in my concern for climate change.	ISO2
Czuję się jakbym był/a jedyną osobą w moim otoczeniu, która przejmuje się zmianą klimatu.	I feel like the only person in my surroundings that cares about climate change.	ISO3
Czuję, jakbym był/a jedną z niewielu osób, które naprawdę rozumieją, z czym wiąże się zmiana klimatu.	I feel like one of the few people who actually understand what climate change really means.	ISO4
Czuję się osamotniona/y, ponieważ większość ludzi w moim otoczeniu nie martwi się zmianą klimatu tak, jak ja.	I feel lonely because most of the people in my surroundings don’t care about climate change like I do.	ISO5
Trudno mi czuć się częścią społeczeństwa, które lekceważy zmianę klimatu.	I find it difficult to feel part of a society that ignores climate change.	ISO6
Czuję, że trudno byłoby mi podzielić się moim zmartwieniem dotyczącym zmiany klimatu z większością ludzi wokół mnie.	I feel difficulty in sharing my worries about climate change with most of the people around me.	ISO7
Czuję osamotnienie, ponieważ trudno mi rozmawiać z innymi o mojej trosce dotyczącej zmiany klimatu.	I feel lonely because it’s difficult to talk about my climate change concerns with other people.	ISO8
Czasem czuję się samotna/y, bo ludzie po prostu żyją, jakby nie było zmiany klimatu.	Sometimes I feel lonely because people live as if climate change doesn’t exist.	ISO9
Zdarza mi się czuć samotnym/ą, bo ludzie nie traktują zmiany klimatu poważnie.	I tend to feel lonely because people don’t take climate change seriously.	ISO10
Czuję się opuszczona/y przez ludzi, którzy mają możliwość wpływu na ograniczenie zmiany klimatu.	I feel abandoned by the people who have the power to reduce climate change.	ISO11
Czuję się wyobcowana/y, ponieważ społeczeństwo uważa troskę o zmianę klimatu za coś dziwacznego.	I feel left out because society considers the concern for climate change as something strange.	ISO12
Czuję się osamotniony/a, kiedy inni nie rozumieją moich obaw w stosunku do zmiany klimatu.	I feel lonely when others don’t understand my concerns about climate change.	ISO13
Czuję się odizolowana/y od reszty społeczeństwa, ponieważ inni nie przejmują się zmianą klimatu tak bardzo, jak ja.	I feel isolated from the rest of society because others don’t care about climate change as much as I do.	ISO14
Czuję nadzieję, gdy wprowadzane są rozwiązania ograniczające zmianę klimatu.	I feel hopeful when actions of limiting climate change are implemented.	HOPF1
Jestem pełna/pełen nadziei, gdy wprowadza się rozwiązania, które pomogą nam ograniczyć nasz negatywny wpływ na klimat.	I feel full of hope when I see solutions that will help us reduce our negative impact on the climate.	HOPF2
Nowe pomysły na ograniczenie zmiany klimatu dają mi nadzieję.	New ideas for climate change reduction give me hope.	HOPF3
Uspokajają mnie przykłady rozwiązań łagodzących zmianę klimatu.	Seeing examples of solutions to mitigate climate change calms me down.	HOPF4
Wypełnia mnie poczucie optymizmu, gdy widzę przykłady działań na rzecz ograniczenia zmiany klimatu.	I am filled with optimism when I see examples of actions aimed at reducing climate change.	HOPF5
Wprowadzane rozwiązania ograniczające zmianę klimatu dają mi dużo wiary w przyszłość.	The solutions introduced to limit climate change give me great hope for the future.	HOPF6
Wysiłki na rzecz ochrony klimatu sprawiają, że ze spokojem myślę o przyszłości.	Efforts to protect the climate make me think about the future with a sense of calm.	HOPF7
Konkretne działania na rzecz klimatu pozwalają mi optymistycznie patrzeć w przyszłość.	Concrete climate actions allow me to be optimistic about the future.	HOPF8
Wierzę, że pojawiące się rozwiązania pozwolą nam zahamować zmianę klimatu.	I believe that the emerging solutions will allow us to stop climate change.	HOPF9
Z nadzieją patrzę w przyszłość, widząc tempo pozytywnych zmian na rzecz klimatu.	I look to the future with hope when I see the pace of positive climate changes.	HOPF10
Liczę na to, że nowe technologie pozwolą nam zapanować nad zmianą klimatu.	I am hoping that new technologies will allow us to control climate change.	HOPF11
Jestem pełna/pełen ufności, że uda nam się ograniczyć zmianę klimatu.	I am full of trust that we will succeed in reducing climate change.	HOPF12
Mam w sobie dużo wiary, że uda się nam opanować zmianę klimatu.	I have a lot of hope that we will succeed in controlling climate change.	HOPF13
Jeśli chodzi o zmianę klimatu, to wierzę, że w przyszłości wszystko się ułoży.	In terms of climate change, I believe that everything will be fine in the future.	HOPF14
Widok ludzi, którzy wspólnie działają na rzecz klimatu dodaje mi siły do działania.	Seeing people work together for the benefit of the climate gives me strength to act.	EMP1
Presja społeczna, by przeciwdziałać zmianie klimatu dodaje mi zapału do działania.	I am motivated by the social pressure that’s being put on resisting climate change.	EMP2
Inspirują mnie osoby działające w organizacjach na rzecz klimatu.	I am inspired by people working in climate organizations.	EMP3
Czuję radość, gdy widzę, że ludzie angażują się w działania na rzecz klimatu.	I am happy to see people involved in climate action.	EMP4
Cieszy mnie solidarność ludzi w domaganiu się zdecydowanych działań na rzecz klimatu.	I am happy to see solidarity in the demand for decisive action concerning the climate.	EMP5
Mam poczucie sensu wspólnych działań na rzecz klimatu.	I feel a sense of purpose in coming together to take action for the climate.	EMP6
Mobilizacja społeczna w kwestii przeciwdziałania zmianie klimatu daje mi poczucie, że razem możemy osiągnąć ten cel.	Seeing the public mobilization to act in resistance towards climate change, gives me the feeling that together we can achieve this goal.	EMP7
Cieszy mnie, że mam wokół siebie ludzi, którzy przejmują się zmianą klimatu.	I am happy to be surrounded by people who care about climate change.	EMP8
Świadomość, że istnieją ludzie, którzy przejmują się zmianą klimatu, daje mi siłę do działania.	Knowing that there are people who care about climate change, gives me the strength to act.	EMP9
Rozmowy z ludźmi, którzy przejmują się zmianą klimatu dodają mi energii do działania.	Conversations with people who care about climate change, give me the energy to act.	EMP10
Czuję przypływ energii, gdy spotykam ludzi, którzy traktują zmianę klimatu na serio.	I feel a surge of energy when meeting people who take climate change seriously.	EMP11
Rosnące zaangażowanie społeczne w kwestie zmiany klimatu budzi we mnie nadzieję.	The increasing public awareness of climate change gives me hope.	EMP12
Zaangażowanie młodych ludzi w kwestie zmiany klimatu daje mi nadzieję na przyszłość.	Seeing young people take part in climate change resistance gives me hope for the future.	EMP13
To, że coraz więcej ludzi uświadamia sobie zagrożenia związane ze zmianą klimatu, daje mi nadzieję.	The fact that more people are becoming aware of the dangers of climate change, gives me hope.	EMP14
Złości mnie, że ludzie zajmują się zmianą klimatu.	I am angry that people are concerned with climate change.	DIS1
Czuję złość, że ludzie ulegają panice związanej ze zmianą klimatu.	I feel anger when people panic over climate change.	DIS2
Irytuje mnie, że społeczeństwo naiwnie wierzy w rzekomą konieczność przeciwdziałania zmianie klimatu.	I am annoyed that society naively believes in the alleged need to fight climate change.	DIS3
Złości mnie alarmistyczna narracja mediów i polityków o “kryzysie klimatycznym”.	I am angered by the alarmist narrative of the media and politicians about the “climate crisis”.	DIS4
Drażni mnie, gdy po raz kolejny słucham ludzi ulegających histerii klimatycznej.	I get annoyed when I keep hearing people succumb to climate hysteria.	DIS5
Czuję wściekłość, gdy media głównego nurtu wciąż trąbią o zmianie klimatu.	It is infuriating when the media keeps on buzzing about the climate crisis.	DIS6
Denerwuje mnie ciągłe nagłaśnianie kwestii globalnego ocieplenia.	I am annoyed by the constant publicity of global warming.	DIS7
Czuję frustrację, że zmusza się nas do przejmowania się zmianą klimatu.	I am frustrated that we’re forced to care about climate change.	DIS8
To skandal, że tak dużo pieniędzy wydaje się na zwalczanie zmiany klimatu.	It is absurd that so much money is being spent on resisting climate change.	DIS9
Czuję oburzenie, że poświęca się mnóstwo czasu i energii na walkę ze zmianą klimatu.	I am disgusted by so much time and energy being spent on fighting climate change.	DIS10
Drażni mnie, że pod przykrywką ograniczania zmiany klimatu dyktują nam, jak mamy żyć.	I am annoyed that under the facade of resisting climate change, they are actually telling us how to live.	DIS11
Mam dosyć tego, że moje wolności są ograniczane pod pretekstem przeciwdziałania zmianie klimatu.	I am sick of my freedom being limited under the pretext of resisting climate change.	DIS12
Złości mnie, że oczekuje się ode mnie wyrzeczeń w związku ze zwalczaniem zmiany klimatu.	I am upset that sacrifices are expected of me in order to fight climate change.	DIS13
Jestem zła/zły, że oczekuje się ode mnie zrezygnowania z wygód na rzecz walki ze zmianą klimatu.	It angers me that I am expected to give up my own comforts for the sake of fighting climate change.	DIS14
Czuję się znudzona/y tematem zmiany klimatu.	I am bored by the topic of climate change.	IND1
Nudzi mnie słuchanie o zmianie klimatu.	Listening about climate change is boring.	IND2
Temat zmiany klimatu jest mi obojętny.	I am indifferent to the topic of climate change.	IND3
Zmiana klimatu w zasadzie nie porusza mnie emocjonalnie.	Climate change does not move me emotionally.	IND4
Nie czuję żadnych emocji w związku ze zmianą klimatu.	I do not feel any emotions regarding climate change.	IND5
Niespecjalnie porusza mnie temat zmiany klimatu.	I am not particularly concerned with the topic of climate change.	IND6
Jestem znużony/a tematem zmiany klimatu.	I am tired of the topic of climate change.	IND7
Temat zmiany klimatu nieszczególnie mnie ciekawi.	I am not particularly interested in the topic of climate change.	IND8
Mam mało przemyśleń, jeżeli chodzi o kwestię zmiany klimatu.	I do not have many thoughts regarding climate change.	IND9
Mam ważniejsze sprawy na głowie, niż zajmowanie się zmianą klimatu.	I have more important things on my mind than dealing with climate change.	IND10
Mam ciekawsze zajęcia, niż myślenie o zmianie klimatu.	I have more interesting activities to do, than think about climate change.	IND11
Trudno mi zrozumieć ludzi, którzy reagują emocjonalnie na temat zmiany klimatu.	It is difficult for me to understand people who react so emotionally about climate change.	IND12
Dziwi mnie, że ludzie odczuwają silne emocje w stosunku do zmiany klimatu.	It is strange to me that people feel such strong emotions about climate change.	IND13
Czuję, że zmiana klimatu nie jest tematem wartym specjalnej uwagi.	I do not feel that climate change is a topic that needs special attention.	IND14